date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:03:33	1446/1446	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Nov%202022%2003:33:33%20GMT	https://myfarmz.vercel.app/robots.txt		(from )
09:03:33	39738/39738	---MCZ	200	added ('OK')	text/html	etag:W/%220057b3317c58a53b0ac5fd82ad5b40f5%22	https://myfarmz.vercel.app/	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/index.html	(from )
09:03:35	10008/10008	---M--	200	added ('OK')	image/png	etag:%22a1d77c296c39178ab17b7e7819c66b56%22	https://myfarmz.vercel.app/assets/images/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/assets/images/favicons/apple-touch-icon.png	(from https://myfarmz.vercel.app/)
09:03:35	993/993	---M--	200	added ('OK')	image/png	etag:%2229a77b3517470c1187ad5944b071714b%22	https://myfarmz.vercel.app/assets/images/favicons/favicon-32x32.png	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/assets/images/favicons/favicon-32x32.png	(from https://myfarmz.vercel.app/)
09:03:36	493/493	---M--	200	added ('OK')	image/png	etag:%22b3030cbfc5ba473c0414f8b78e2721b2%22	https://myfarmz.vercel.app/assets/images/favicons/favicon-16x16.png	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/assets/images/favicons/favicon-16x16.png	(from https://myfarmz.vercel.app/)
09:03:36	263/263	---M--	200	added ('OK')	application/manifest+json	etag:%22053100cb84a50d2ae7f5492f7dd7f25e%22	https://myfarmz.vercel.app/assets/images/favicons/site.webmanifest	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/assets/images/favicons/site.webmanifest	(from https://myfarmz.vercel.app/)
09:03:36	3620/3620	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Nov%202022%2003:33:36%20GMT	https://myfarmz.vercel.app/css2.css?family=Barlow:ital,wght@0,300;0,400;0,500;0,600;0,700;0,800;1,300;1,400;1,500;1,600;1,700;1,800&display=swap	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/css23c03.css	(from https://myfarmz.vercel.app/)
09:03:37	3620/3620	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Nov%202022%2003:33:36%20GMT	https://myfarmz.vercel.app/css2-1.css?family=Amatic+SC:wght@400;700&display=swap	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/css2-1c52e.css	(from https://myfarmz.vercel.app/)
09:03:37	83884/83884	---MCZ	200	added ('OK')	text/css	etag:W/%228f6a0d1a63a3efde82d78da75011800a%22	https://myfarmz.vercel.app/assets/css/animate.min.css	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/assets/css/animate.min.css	(from https://myfarmz.vercel.app/)
09:03:37	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%22a15c2ac3234aa8f6064ef9c1f7383c37%22	https://myfarmz.vercel.app/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/assets/css/bootstrap.min.css	(from https://myfarmz.vercel.app/)
09:03:37	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%22b2752a850d44f50036628eeaef3bfcfa%22	https://myfarmz.vercel.app/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/assets/css/owl.carousel.min.css	(from https://myfarmz.vercel.app/)
09:03:37	1013/1013	---MCZ	200	added ('OK')	text/css	etag:W/%22594b81805a98b267e47c70a8fad30d9f%22	https://myfarmz.vercel.app/assets/css/owl.theme.default.min.css	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/assets/css/owl.theme.default.min.css	(from https://myfarmz.vercel.app/)
09:03:38	6982/6982	---MCZ	200	added ('OK')	text/css	etag:W/%22216d4566dc3752d76956bf7ee1402809%22	https://myfarmz.vercel.app/assets/css/magnific-popup.css	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/assets/css/magnific-popup.css	(from https://myfarmz.vercel.app/)
09:03:38	57087/57087	---MCZ	200	added ('OK')	text/css	etag:W/%228dab25763b6cfa1186f0098d2fb4599e%22	https://myfarmz.vercel.app/assets/css/fontawesome-all.min.css	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/assets/css/fontawesome-all.min.css	(from https://myfarmz.vercel.app/)
09:03:38	19778/19778	---MCZ	200	added ('OK')	text/css	etag:W/%229097e7972b059ecae0f5bb78a0186f71%22	https://myfarmz.vercel.app/assets/css/swiper.min.css	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/assets/css/swiper.min.css	(from https://myfarmz.vercel.app/)
09:03:38	9887/9887	---MCZ	200	added ('OK')	text/css	etag:W/%22ab247dbd2e165781c1b239bbeef2af73%22	https://myfarmz.vercel.app/assets/css/bootstrap-select.min.css	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/assets/css/bootstrap-select.min.css	(from https://myfarmz.vercel.app/)
09:03:38	42839/42839	---MCZ	200	added ('OK')	text/css	etag:W/%22f59e3f4c0087b4d8ddc27bdd9c9ab92b%22	https://myfarmz.vercel.app/assets/css/jquery.mCustomScrollbar.min.css	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/assets/css/jquery.mCustomScrollbar.min.css	(from https://myfarmz.vercel.app/)
09:03:39	15731/15731	---MCZ	200	added ('OK')	text/css	etag:W/%22e69cf988c1f5545e1b1317154f356951%22	https://myfarmz.vercel.app/assets/css/bootstrap-datepicker.min.css	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/assets/css/bootstrap-datepicker.min.css	(from https://myfarmz.vercel.app/)
09:03:39	9459/9459	---MCZ	200	added ('OK')	text/css	etag:W/%22e5ca567518c6c7414660b5f35cf92e06%22	https://myfarmz.vercel.app/assets/css/vegas.min.css	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/assets/css/vegas.min.css	(from https://myfarmz.vercel.app/)
09:03:39	4039/4039	---MCZ	200	added ('OK')	text/css	etag:W/%22846047d35dc896b96b56e3d38da843b5%22	https://myfarmz.vercel.app/assets/css/nouislider.min.css	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/assets/css/nouislider.min.css	(from https://myfarmz.vercel.app/)
09:03:39	1323/1323	---MCZ	200	added ('OK')	text/css	etag:W/%2290520eea30293355170070910c7e1c0d%22	https://myfarmz.vercel.app/assets/css/nouislider.pips.css	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/assets/css/nouislider.pips.css	(from https://myfarmz.vercel.app/)
09:03:40	1993/1993	---MCZ	200	added ('OK')	text/css	etag:W/%223fea1a39f7235bab9951de6a1d9d851a%22	https://myfarmz.vercel.app/assets/css/myfarmz.css	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/assets/css/myfarmz.css	(from https://myfarmz.vercel.app/)
09:03:40	206797/206797	---MCZ	200	added ('OK')	text/css	etag:W/%226af25b7e4a5d8f4c83a26f44cb5b785a%22	https://myfarmz.vercel.app/assets/css/style.css	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/assets/css/style.css	(from https://myfarmz.vercel.app/)
09:03:40	34022/34022	---MCZ	200	added ('OK')	text/css	etag:W/%2214c345a3bc34e473d72cb2c437015dc1%22	https://myfarmz.vercel.app/assets/css/responsive.css	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/assets/css/responsive.css	(from https://myfarmz.vercel.app/)
09:03:40	541/541	---M--	200	added ('OK')	image/png	etag:%22b1815edbbda6f3b2a719dc8887cac77b%22	https://myfarmz.vercel.app/assets/images/loader.png	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/assets/images/loader.png	(from https://myfarmz.vercel.app/)
09:03:40	1780/1780	---M--	200	added ('OK')	image/png	etag:%2216276daa9deccf7b18c5220a79a66a12%22	https://myfarmz.vercel.app/assets/images/shapes/header-bg.png	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/assets/images/shapes/header-bg.png	(from https://myfarmz.vercel.app/)
09:03:41	65568/65568	---M--	200	added ('OK')	image/png	etag:%2262d3672f3be93bdf374844ff2f6222e9%22	https://myfarmz.vercel.app/assets/images/resources/logo.png	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/assets/images/resources/logo.png	(from https://myfarmz.vercel.app/)
09:03:41	37697/37697	---MCZ	200	added ('OK')	text/html	etag:W/%2207d2422a21d506204fb685a21bd96fc2%22	https://myfarmz.vercel.app/shop.html	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/shop.html	(from https://myfarmz.vercel.app/)
09:03:41	20990/20990	---MCZ	200	added ('OK')	text/html	etag:W/%225859f05159a82024099591b0e4b0d509%22	https://myfarmz.vercel.app/team.html	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/team.html	(from https://myfarmz.vercel.app/)
09:03:42	29476/29476	---MCZ	200	added ('OK')	text/html	etag:W/%220941a4cd272847f454a8ce7c67d3e5d7%22	https://myfarmz.vercel.app/news.html	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/news.html	(from https://myfarmz.vercel.app/)
09:03:42	21395/21395	---MCZ	200	added ('OK')	text/html	etag:W/%2289a00b5161a5db32929411e5af3633f6%22	https://myfarmz.vercel.app/contact.html	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/contact.html	(from https://myfarmz.vercel.app/)
09:03:43	24352/24352	---MCZ	200	added ('OK')	text/html	etag:W/%224a951ed3033b4ba37fd8cfa829aa8f2b%22	https://myfarmz.vercel.app/gallery.html	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/gallery.html	(from https://myfarmz.vercel.app/)
09:03:43	23204/23204	---MCZ	200	added ('OK')	text/html	etag:W/%228e00067daab3f45e26ac3ab4b43ead3c%22	https://myfarmz.vercel.app/cart.html	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/cart.html	(from https://myfarmz.vercel.app/)
09:03:43	257593/257593	---M--	200	added ('OK')	image/jpeg	etag:%22ff9dcd4dab3d839ae417e792cd819c5d%22	https://myfarmz.vercel.app/assets/images/main-slider/slide_v1_1.jpg	C:/My%20Web%20Sites/hellowrld/myfarmz.vercel.app/assets/images/main-slider/slide_v1_1.jpg	(from https://myfarmz.vercel.app/)
